transcript_id	TPM
Gpal_D383_g00210.t1	201.671234
Gpal_D383_g00220.t1	122.085075
Gpal_D383_g00221.t1	16.907631
Gpal_D383_g00225.t1	0.647138
Gpal_D383_g00226.t1	2.211347
Gpal_D383_g00224.t2	0.000000
Gpal_D383_g00224.t1	0.542656
Gpal_D383_g00227.t1	0.000000
Gpal_D383_g00227.t3	0.000000
Gpal_D383_g00227.t2	6.778840
Gpal_D383_g00222.t1	31.858751
Gpal_D383_g00223.t1	148.156403
Gpal_D383_g00231.t1	12.731404
Gpal_D383_g00230.t3	0.000000
Gpal_D383_g00230.t4	0.000000
Gpal_D383_g00230.t1	71.157570
Gpal_D383_g00230.t2	15.055121
Gpal_D383_g00232.t1	39.224491
Gpal_D383_g00216.t1	0.000000
Gpal_D383_g00212.t1	28.721458
Gpal_D383_g00212.t2	16.377735
Gpal_D383_g00213.t1	1337.130493
Gpal_D383_g00214.t1	86.500656
Gpal_D383_g00215.t1	65.617493
Gpal_D383_g00216.t2	42.550606
Gpal_D383_g00216.t3	5.092247
Gpal_D383_g00217.t1	80.056107
Gpal_D383_g00217.t2	8.926518
Gpal_D383_g00218.t1	77.245865
Gpal_D383_g00219.t1	176.721375
Gpal_D383_g00228.t1	0.000000
Gpal_D383_g00228.t2	56.974564
Gpal_D383_g00229.t1	0.231005
Gpal_D383_g00228.t4	1.641102
Gpal_D383_g00228.t3	0.183110
Gpal_D383_g00228.t5	24.035734
Gpal_D383_g00237.t1	2.492668
Gpal_D383_g00234.t1	12.357111
Gpal_D383_g00235.t1	10.484922
Gpal_D383_g00236.t1	10.462931
Gpal_D383_g00233.t1	221.936493
Gpal_D383_g00276.t1	43.653046
Gpal_D383_g00278.t1	37.178318
Gpal_D383_g00280.t1	35.389282
Gpal_D383_g00279.t2	0.000000
Gpal_D383_g00279.t1	55.042068
Gpal_D383_g00277.t1	59.979103
Gpal_D383_g00290.t1	26.287619
Gpal_D383_g00289.t1	0.000000
Gpal_D383_g00281.t1	10.297671
Gpal_D383_g00282.t1	7.776271
Gpal_D383_g00283.t1	14.155717
Gpal_D383_g00284.t1	20.373539
Gpal_D383_g00285.t1	49.872463
Gpal_D383_g00286.t1	46.609573
Gpal_D383_g00287.t1	18.594414
Gpal_D383_g00288.t1	7.965524
Gpal_D383_g00295.t1	27.639883
Gpal_D383_g00291.t1	47.900005
Gpal_D383_g00293.t1	0.000000
Gpal_D383_g00292.t1	21.085144
Gpal_D383_g00297.t1	3.460229
Gpal_D383_g00298.t1	192.062592
Gpal_D383_g00299.t1	84.610146
Gpal_D383_g00300.t1	84.574783
Gpal_D383_g00301.t1	84.166496
Gpal_D383_g00301.t2	15.390715
Gpal_D383_g00302.t1	88.399445
Gpal_D383_g00306.t2	0.000000
Gpal_D383_g00306.t1	2.146295
Gpal_D383_g00303.t1	54.976208
Gpal_D383_g00304.t1	13.029207
Gpal_D383_g00305.t1	70.901093
Gpal_D383_g00240.t1	0.000000
Gpal_D383_g00241.t1	0.000000
Gpal_D383_g00242.t1	0.000000
Gpal_D383_g00243.t1	0.000000
Gpal_D383_g00244.t1	0.000000
Gpal_D383_g00246.t1	0.000000
Gpal_D383_g00248.t1	0.000000
Gpal_D383_g00252.t1	0.000000
Gpal_D383_g00253.t1	0.000000
Gpal_D383_g00253.t2	0.000000
Gpal_D383_g00258.t2	0.000000
Gpal_D383_g00259.t1	0.000000
Gpal_D383_g00259.t2	0.000000
Gpal_D383_g00263.t1	0.000000
Gpal_D383_g00264.t1	0.000000
Gpal_D383_g00265.t1	0.000000
Gpal_D383_g00266.t1	0.000000
Gpal_D383_g00268.t1	0.000000
Gpal_D383_g00238.t1	1.606554
Gpal_D383_g00239.t1	3.753069
Gpal_D383_g00245.t1	4.840445
Gpal_D383_g00247.t1	4.803262
Gpal_D383_g00249.t1	56.465466
Gpal_D383_g00250.t1	60.889343
Gpal_D383_g00251.t1	18.629196
Gpal_D383_g00254.t1	15.596828
Gpal_D383_g00255.t1	19.853588
